Date,Open,High,Low,Close,Volume,Adjusted Close
2015-03-11,16.440001,17.190001,16.290001,16.870001,0.0,16.870001
2015-03-12,16.450001,16.450001,15.3,15.42,0.0,15.42
2015-03-13,15.47,16.74,15.32,16.0,0.0,16.0
2015-03-16,15.78,15.89,15.36,15.61,0.0,15.61
2015-03-17,16.309999,16.370001,15.66,15.66,0.0,15.66
2015-03-18,14.6,16.290001,13.38,13.97,0.0,13.97
2015-03-19,14.68,14.97,13.84,14.07,0.0,14.07
2015-03-20,13.52,13.53,12.54,13.02,0.0,13.02
2015-03-23,13.52,13.53,12.89,13.41,0.0,13.41
2015-03-24,13.36,13.68,12.59,13.62,0.0,13.62
2015-03-25,13.26,15.55,13.2,15.44,0.0,15.44
2015-03-26,16.639999,17.190001,15.23,15.8,0.0,15.8
2015-03-27,15.73,15.83,14.19,15.07,0.0,15.07
2015-03-30,14.76,14.76,14.08,14.51,0.0,14.51
2015-03-31,14.97,15.74,14.33,15.29,0.0,15.29
2015-04-01,15.32,16.66,15.08,15.11,0.0,15.11
2015-04-02,15.3,15.51,14.27,14.67,0.0,14.67
2015-04-06,15.75,15.76,14.04,14.74,0.0,14.74
2015-04-07,14.57,14.81,14.01,14.78,0.0,14.78
2015-04-08,14.59,14.77,13.75,13.98,0.0,13.98
2015-04-09,14.14,14.59,13.09,13.09,0.0,13.09
2015-04-10,13.2,13.26,12.51,12.58,0.0,12.58
2015-04-13,13.17,14.31,12.71,13.94,0.0,13.94
2015-04-14,14.34,14.74,13.64,13.67,0.0,13.67
2015-04-15,13.58,13.58,12.83,12.84,0.0,12.84
2015-04-16,13.27,13.35,12.5,12.6,0.0,12.6
2015-04-17,13.97,15.02,13.73,13.89,0.0,13.89
2015-04-20,13.67,13.67,12.83,13.3,0.0,13.3
2015-04-21,12.75,13.51,12.66,13.25,0.0,13.25
2015-04-22,12.97,13.8,12.57,12.71,0.0,12.71
2015-04-23,12.96,12.96,12.12,12.48,0.0,12.48
2015-04-24,12.21,13.02,12.16,12.29,0.0,12.29
2015-04-27,12.34,13.4,12.33,13.12,0.0,13.12
2015-04-28,13.26,14.23,12.41,12.41,0.0,12.41
2015-04-29,13.44,14.34,12.61,13.39,0.0,13.39
2015-04-30,13.89,15.29,12.49,14.55,0.0,14.55
2015-05-01,13.98,13.98,12.68,12.7,0.0,12.7
2015-05-04,13.12,13.18,12.1,12.85,0.0,12.85
2015-05-05,13.21,14.41,12.97,14.31,0.0,14.31
2015-05-06,13.93,16.360001,13.89,15.15,0.0,15.15
2015-05-07,15.48,15.97,14.81,15.13,0.0,15.13
2015-05-08,13.36,13.42,12.7,12.86,0.0,12.86
2015-05-11,13.35,13.85,13.0,13.85,0.0,13.85
2015-05-12,14.73,15.13,13.73,13.86,0.0,13.86
2015-05-13,13.63,14.04,13.06,13.76,0.0,13.76
2015-05-14,13.14,13.29,12.72,12.74,0.0,12.74
2015-05-15,12.46,13.09,12.35,12.38,0.0,12.38
2015-05-18,13.08,13.22,12.55,12.73,0.0,12.73
2015-05-19,12.95,13.13,12.55,12.85,0.0,12.85
2015-05-20,12.9,13.27,12.62,12.88,0.0,12.88
2015-05-21,13.03,13.09,12.09,12.11,0.0,12.11
2015-05-22,12.37,12.37,11.82,12.13,0.0,12.13
2015-05-26,13.45,14.63,13.34,14.06,0.0,14.06
